{
0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i, 0.177+0i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i
, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 1.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i, 0.+0.i
,};



{
0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i
, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, 0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i, -0+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0.707+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0+0i, -0.707+0i
,};



{
0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 1+0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i, 0i
